run_id,env_name,algorithm,total_steps,learning_rate,epoch,bath_size,buffer_size,gamma,lambda,mean_group_reward,group_cumulative_reward,episode_length,mean_policy_loss,mean_value_loss,mean_entropy,ELO,training_time,efficiency_score
DESKTOP-R1IDF6L_24,SoccerTwos,poca,1600000,0.0007569007976047584,10,3405,63125,0.99,0.95,-0.0901221204050671,-0.0621066652238369,838.4868412017822,0.017449174350237146,0.002629649164566003,3.262941935658455,1190.929191427028,26545.81520342827,-0.00040739583115953395
DESKTOP-R1IDF6L_25,SoccerTwos,poca,1880000,0.0007569007976047584,10,3405,63125,0.99,0.95,-0.025126994539181047,-0.36243510246276855,279.12228643133284,0.020484005968118536,0.022449994636378413,2.82205522948123,1278.1142649931066,31429.488402843475,-9.593663460423785e-05
DESKTOP-R1IDF6L_26,SoccerTwos,poca,870000,0.00097731508299721,2,5835,70460,0.99,0.95,-0.08239128411983022,-0.4000000059604645,821.0640455224049,0.006189533910746205,0.0026893417565714054,3.2502822273079004,1201.0957362798997,19828.83761239052,-0.0004986149106492016
DESKTOP-R1IDF6L_27,SoccerTwos,poca,2950000,0.00097731508299721,2,5835,70460,0.99,0.95,-0.08782219583962295,0.0,830.4071457321579,0.008493942820600101,0.0026182317341278704,3.288690940753834,1196.6160390332398,36575.38700699806,-0.0002881353927639471
DESKTOP-R1IDF6L_28,SoccerTwos,poca,2800000,0.00097731508299721,2,5835,70460,0.99,0.95,-0.032183308249444396,0.0,944.345917607697,0.010166938893568976,0.0008493288814672653,3.034087510176108,1204.6407289858219,34964.747215270996,-0.00011045402290929718
DESKTOP-R1IDF6L_3,SoccerTwos,poca,940000,0.0003,3,2048,20480,0.99,0.95,-0.07143435520219042,-0.00800000037997961,537.2697325361536,0.01705224896696481,0.012433114998698742,3.178954466860345,1202.710443911345,13369.20175242424,-0.0006411843267088454
DESKTOP-R1IDF6L_30,SoccerTwos,poca,730000,0.00097731508299721,2,5835,70460,0.99,0.95,-0.06306761629841201,-0.1818181872367859,814.0312863702643,0.009573070891201496,0.007628891826607287,3.242690674246174,1202.3196633078835,17307.94295668602,-0.0004372624739259321
DESKTOP-R1IDF6L_4,SoccerTwos,poca,940000,0.0003,3,2048,20480,0.99,0.95,-0.06833108481108904,0.0,853.3214104835023,0.016796111584056254,0.0020571569113472347,3.204072726533768,1200.8009711371528,13338.278447151184,-0.0006147517619923432
DESKTOP-R1IDF6L_5,SoccerTwos,poca,940000,0.0003,3,2048,20480,0.99,0.95,-0.056381796610521825,-0.5,817.9299160571809,0.016738405277909235,0.0025049785347428678,3.1990099308338573,1199.4975481731135,13318.776694059372,-0.0005079907673713309
DESKTOP-R1IDF6L_6,SoccerTwos,poca,640000,0.0003,3,4096,20480,0.99,0.95,-0.05627055839431705,0.11370909214019775,852.0066032409668,0.010943599687568072,0.0021641382811829883,3.2298899814486504,1208.4225000841864,9181.32715511322,-0.0007354565296758317
DESKTOP-R1IDF6L_7,SoccerTwos,poca,640000,0.0003,3,4096,20480,0.99,0.95,-0.07813005110619997,0.07581818103790283,903.0657186508179,0.011151765023582968,0.0015402494764516475,3.2262338548898697,1204.6015301139987,9174.959064483643,-0.0010218689878450859
DESKTOP-R1IDF6L_8,SoccerTwos,poca,620000,0.0003,3,4096,20480,0.99,0.95,-0.07833573924347995,0.0,868.4430648561508,0.011563568311775553,0.0019200434546981905,3.2445180870237804,1197.3478710033276,9167.66248846054,-0.0010253746493230813
DESKTOP-R1IDF6L_9,SoccerTwos,poca,640000,0.0003,3,4096,20480,0.99,0.95,-0.08588541919925774,-0.0012307671131566167,864.7513580322266,0.011698518044732768,0.002095760393723171,3.240418292582035,1200.0670703125,9161.578250169754,-0.0011249426706277344
docker_sct-test,SoccerTwos,poca,160000,0.0006147465543559069,3,5245,95835,0.99,0.95,-0.10036669333931059,-0.04950769245624542,825.7250061035156,0.011958173476159573,0.0082814060151577,3.2892762422561646,1199.3060128348213,939.7459704875946,-0.012816232874580079
LAPTOP-4A2E6G2C_SCT-01,SoccerTwos,poca,700000,0.0003,3,2048,20480,0.99,0.95,-0.06776867249448384,-0.2557666599750519,819.1498474121094,0.0163164627738297,0.002518054387110169,3.2067591871534074,1201.292449466766,5710.432734489441,-0.0014241023539637492
LAPTOP-4A2E6G2C_SCT-02,SoccerTwos,poca,1600000,0.0003,3,2048,20480,0.99,0.95,-0.051266573753673585,0.08283635973930359,895.9948001861572,0.017119526888269024,0.0014483485924952557,3.162915460765362,1201.777315306432,20568.13388299942,-0.0002991029174273196
LAPTOP-4A2E6G2C_SCT-03,SoccerTwos,poca,1590000,0.0003,3,2048,20480,0.99,0.95,-0.04648391508453642,0.0,910.2154644012451,0.01687522647852028,0.0013045894554187959,3.179975602030754,1195.7698209993132,20635.65886068344,-0.0002703121740770834
