RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20251123-034315,1.418697476387024,1.418697476387024,53.55182647705078,53.55182647705078,0.0177677096799015,0.1719110533595084,1.4169522821903229,1.4131405353546145,2.366666555404663,1.9062499552965164,10208.6669921875,10182.604248046877,2267.333251953125,2267.333251953125,9.5,2.1041666716337204,1115.0,1114.9375,0.7271167635917664,0.5535039864480495,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,9.6e-05,40960,0.002476,0.146,0.937,5.0,constant,True,512,1,simple,,,5,100000,2048,12000
20251123-034419,52.47895431518555,59.82858276367188,426.8662414550781,621.4663696289062,0.0169153583313648,0.4439273395886023,1.4087338892810315,1.383979082107544,6.5,2.8734939845211533,10242.0,10212.13049463479,2267.333251953125,2267.333251953125,2.0,1.1104417673076492,1115.0,1115.0,1.1712615489959717,0.7011376156146267,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,4.8e-05,40960,0.009916,0.268,0.917,8.0,constant,True,32,2,simple,,,5,1000000,128,12000
20251123-035450,1.2971943616867063,1.2971943616867063,66.58875274658203,66.58875274658203,0.0248661637306213,0.2470082640647888,1.4190821796655655,1.417070388793945,5.9666666984558105,2.6791666746139526,10193.3330078125,10169.270874023438,2267.333251953125,2267.333251953125,1.0,0.9583333358168602,1115.0,1115.0,0.8478068113327026,0.606068778783083,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.00012,40960,0.002797,0.22,0.947,10.0,linear,True,64,1,simple,,,5,100000,64,12000
20251123-035606,1.230873703956604,1.230873703956604,114.6072769165039,114.6072769165039,0.0351231711154633,0.3087119663303548,1.4192477941513062,1.4180406332015991,7.400000095367432,2.826666682958603,10200.0,10181.0833984375,2267.333251953125,2267.333251953125,1.3333333730697632,1.0000000029802325,1115.0,1115.0,0.9313093423843384,0.6909306198358536,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,4.7e-05,20480,0.002742,0.235,0.929,3.0,constant,False,32,1,simple,,,5,250000,256,12000
20251123-035815,1.1299256086349487,1.1806082725524902,10.461389541625977,36.98845291137695,,,1.418938249349594,1.4189382791519165,3.6666667461395264,2.2562499940395355,10322.3330078125,10232.4375,2267.333251953125,2267.333251953125,12.5,2.4791666716337204,1115.0,1115.0,0.881641149520874,0.6310689188539982,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000148,163840,0.001393,0.18,0.92,8.0,constant,False,64,2,simple,,,5,100000,64,12000
20251123-035903,1.1998080015182495,1.2003830671310425,33.384613037109375,38.05003356933594,,,1.4189382642507553,1.4189382791519165,4.233333110809326,2.049999952316284,10314.3330078125,10228.0,2267.333251953125,2267.333251953125,10.0,2.1666666716337204,1116.0,1115.9375,0.8066538572311401,0.5814150609076023,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000167,163840,0.004741,0.191,0.911,8.0,constant,True,256,1,simple,,,5,100000,512,12000
20251123-035951,1.4630341529846191,1.4630341529846191,55.53790664672851,55.53790664672851,0.0256130369380116,0.1491659991443156,1.419537603855133,1.419168472290039,4.733333110809326,2.4083332866430283,10184.3330078125,10178.270751953123,2267.333251953125,2267.333251953125,1.5,1.0208333358168602,1116.0,1116.0,1.0079375505447388,0.5671678557991982,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,5.3e-05,20480,0.001799,0.194,0.908,5.0,linear,True,256,2,simple,,,5,100000,64,12000
20251123-040056,15.326089859008787,19.523218154907227,288.5589599609375,300.0004272460937,0.0273043988272547,0.1103063610692818,1.3706948495492703,1.3017008304595947,6.25,2.3792682798897347,10323.0,10273.1259765625,2267.333251953125,2267.333251953125,2.0,1.0813008139773113,1116.0,1116.0,1.0590214729309082,0.6944367253198857,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000295,81920,0.002849,0.145,0.905,8.0,constant,True,64,2,simple,,,5,500000,128,12000
20251123-040632,4.508837699890137,4.930151462554932,144.981689453125,153.05056762695312,0.0180965807288884,0.0225092388689517,1.3910815119743347,1.344500184059143,5.866666793823242,2.338333344459534,10226.3330078125,10203.474951171876,2267.333251953125,2267.333251953125,1.5,1.0500000059604644,1116.0,1116.0,1.074130296707153,0.6681114926934242,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000284,40960,0.009072,0.225,0.942,8.0,constant,False,256,2,simple,,,5,250000,256,12000
20251123-040931,10.21428680419922,10.21428680419922,127.22620391845705,127.22620391845705,0.0336886736564337,0.5599722221493721,1.4167287409305571,1.4146379232406616,10.399999618530272,4.669166648387909,10146.6669921875,10140.783349609375,2267.333251953125,2267.333251953125,1.6666666269302368,0.933333331346512,1116.0,1116.0,1.056841492652893,0.6175877675414085,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,2.6e-05,10240,0.009625,0.231,0.92,4.0,linear,True,256,2,simple,,,5,250000,512,12000
